Total weight (Kg): 9119.58
Total solution time: 12975.99



i     x(cm^2)   x(in^2)     q        sigma sigma/(gamma*x) Euler_slcak  x_hat   q_Euler  q_yield 
143	5.45E+001
144	-4.88E-001
145	4.24E+000
146	7.66E+001
147	-3.01E+000
148	-7.34E-002
149	7.65E+001
150	-7.45E-001
151	4.92E+000
152	1.04E+002
153	-3.90E+000
154	6.89E-001
155	1.04E+002
156	-1.45E+000
157	5.75E+000
158	1.34E+002
159	-4.85E+000
160	1.61E+000
161	1.34E+002
162	-2.27E+000
163	6.58E+000
164	1.66E+002
165	-6.11E+000
166	2.73E+000
167	1.66E+002
168	-3.34E+000
169	7.57E+000
170	2.01E+002
171	-7.42E+000
172	3.98E+000
173	2.01E+002
174	-4.69E+000
175	8.67E+000
176	2.39E+002
177	-8.85E+000
178	5.23E+000
179	2.39E+002
180	-6.27E+000
181	9.83E+000
182	2.80E+002
183	-1.03E+001
184	6.49E+000
185	2.80E+002
186	-8.09E+000
187	1.10E+001
188	3.25E+002
189	-1.19E+001
190	7.88E+000
191	3.25E+002
192	-9.68E+000
193	1.21E+001
194	3.75E+002
195	-1.34E+001
196	9.30E+000
197	3.75E+002
198	-1.16E+001
199	1.33E+001
200	4.29E+002
201	-1.49E+001
202	1.08E+001
203	4.29E+002
204	-1.35E+001
205	1.44E+001
206	4.88E+002
207	-1.64E+001
208	1.23E+001
209	4.88E+002
210	-1.57E+001
211	1.54E+001
212	5.47E+002
213	-1.78E+001
214	1.39E+001
215	5.47E+002
216	0
217	0
218	0
219	0
220	0
221	0

